     [java] 1, FAX
     [java] 2, IAF
     [java] 3, CH
     [java] 4, ETF
     [java] 5, FCO
     [java] 6, IF
     [java] 7, ISL
     [java] 8, AXK
     [java] 9, ACU
     [java] 10, AE
     [java] 11, ADK
     [java] 12, ADK/WS
     [java] 13, AEN
     [java] 14, API
     [java] 15, ASB
     [java] 16, ANX
     [java] 17, ACY
     [java] 18, AIM
     [java] 19, AA^
     [java] 20, AXU
     [java] 21, ADG
     [java] 22, ANV
     [java] 23, AAU
     [java] 24, APT
     [java] 25, DIT
     [java] 26, RPC
     [java] 27, APP
     [java] 28, ABL
     [java] 29, EAG
     [java] 30, ADGE
     [java] 31, AIP
     [java] 32, ALN
     [java] 33, AEZ
     [java] 34, AMS
     [java] 35, AQQ
     [java] 36, ANO
     [java] 37, AIS
     [java] 38, AGT
     [java] 39, KAD
     [java] 40, AGX
     [java] 41, HRT
     [java] 42, ATSC
     [java] 43, AZC
     [java] 44, AZK
     [java] 45, AWX
     [java] 46, BHO
     [java] 47, BKR
     [java] 48, BLD
     [java] 49, BTN
     [java] 50, BKJ
     [java] 51, BCV
     [java] 52, BNX
     [java] 53, BAA
     [java] 54, BAA/WS
     [java] 55, BHB
     [java] 56, BRN
     [java] 57, BIR-PA     
     [java] 58, BTIM
     [java] 59, BTIM/WS
     [java] 60, BMJ
     [java] 61, RAA
     [java] 62, RFA
     [java] 63, BZM
     [java] 64, BLE
     [java] 65, RNJ
     [java] 66, BLJ
     [java] 67, RNY
     [java] 68, BFY
     [java] 69, BPS
     [java] 70, BHV
     [java] 71, BDR
     [java] 72, KAZ
     [java] 73, WEL
     [java] 74, BVX
     [java] 75, BWL/A
     [java] 76, BZC
     [java] 77, BTI
     [java] 78, CGL/A
     [java] 79, CAK
     [java] 80, SNG
     [java] 81, CFW
     [java] 82, CGC
     [java] 83, CPD
     [java] 84, CDY
     [java] 85, CXM
     [java] 86, ROX
     [java] 87, CAW
     [java] 88, CVM
     [java] 89, CEF
     [java] 90, GTU
     [java] 91, CET
     [java] 92, CCF
     [java] 93, CQP
     [java] 94, LNG
     [java] 95, CVR
     [java] 96, AXN
     [java] 97, CNAM
     [java] 98, CHGS
     [java] 99, CMFO
     [java] 100, CCME
     [java] 101, CNR
     [java] 102, NEP
     [java] 103, CNGL
     [java] 104, CPHI
     [java] 105, SHZ
     [java] 106, KUN
     [java] 107, CNET
     [java] 108, CRC
     [java] 109, MBA
     [java] 110, ILB
     [java] 111, CKX
     [java] 112, GLA
     [java] 113, GLA/U
     [java] 114, GLA/WS
     [java] 115, CGR
     [java] 116, GLV
     [java] 117, GLQ
     [java] 118, GLO
     [java] 119, CRV
     [java] 120, COHN
     [java] 121, CFS
     [java] 122, MOC
     [java] 123, BTC
     [java] 124, BTC/U
     [java] 125, BTC/WS
     [java] 126, CTT
